customer_id,company_name,country,region,is_eu,industry,company_size_bucket,annual_contract_value,product_tier,sales_segment,acquisition_channel,contract_start_date,contract_end_date,renewed_flag,discount_pct,initial_onboarding_score,is_churned,total_logins,avg_daily_logins,active_days,total_feature_events,avg_feature_events,total_session_minutes,avg_session_minutes,q1q2_logins,q1q2_session_minutes,q3q4_logins,q3q4_session_minutes,tickets_product_performance,tickets_product_usability,tickets_billing_admin,tickets_sales_expectation,total_tickets,avg_sentiment,avg_first_response_hours,avg_resolution_hours,resolved_tickets
C100000,Company_0,Canada,North America,0,Healthcare,51-200,12999.25,Growth,MidMarket,Partner,2023-05-02,,1,0.03,7.0,0,1459.0,3.986338797814207,366,525.0,1.4344262295081966,9925.17120997267,27.11795412560839,695,4897.11,764.0,5028.06120997267,1.0,0.0,0.0,0.0,1.0,0.44,0.11,14.88,1.0
C100001,Company_1,UK,Europe,1,Wholesale,10-Jan,1799.72,Starter,SMB_Field,Inbound,2023-02-18,,1,0.15,4.9,0,327.0,0.9732142857142856,336,109.0,0.3244047619047619,4462.991577598722,13.282713028567624,177,2493.68,150.0,1969.311577598722,1.0,0.0,0.0,0.0,1.0,-0.5,8.12,9.37,1.0
C100002,Company_2,US,North America,0,Manufacturing,10-Jan,1770.83,Starter,SMB_Field,Inbound,2023-11-12,2024-05-13,0,0.37,4.8,1,140.0,0.3825136612021858,366,60.0,0.1639344262295081,1660.61,4.537185792349726,140,1660.61,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-0.5,2.97,31.65,1.0
C100003,Company_3,France,Europe,1,Unknown,10-Jan,1790.3,Starter,SMB_Field,Outbound,2023-08-06,,1,0.1,8.0,0,308.0,0.9166666666666666,336,96.0,0.2857142857142857,4544.824618036918,13.526263744157491,185,2630.72,123.0,1914.1046180369176,0.0,0.0,1.0,0.0,1.0,-0.11,0.1,12.49,1.0
C100004,Company_4,Netherlands,Europe,1,Professional Services,10-Jan,1552.0,Starter,SMB_Inside,Inbound,2023-09-09,2024-03-10,0,0.11,3.8,1,57.0,0.1696428571428571,336,18.0,0.0535714285714285,976.99,2.9077083333333333,57,976.99,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.2,5.19,35.67,1.0
C100005,Company_5,Germany,Europe,1,Manufacturing,51-200,13476.07,Enterprise,MidMarket,Outbound,2023-08-19,2024-08-19,0,0.17,8.2,0,2304.0,6.857142857142857,336,762.0,2.267857142857143,6944.624483536889,20.668525248621695,1792,5452.91,512.0,1491.714483536889,1.0,1.0,1.0,1.0,4.0,-0.035,1.2875,15.25,4.0
C100006,Company_6,Canada,North America,0,Wholesale,51-200,21487.81,Enterprise,MidMarket,Partner,2023-02-04,,1,0.07,5.9,0,3654.0,9.98360655737705,366,1287.0,3.5163934426229506,10763.901022080248,29.40956563409904,1849,5213.91,1805.0,5549.9910220802485,3.0,1.0,2.0,1.0,7.0,-0.0542857142857142,2.54,8.217142857142857,6.0
C100007,Company_7,Germany,Europe,1,Healthcare,10-Jan,2079.68,Starter,SMB_Inside,Inbound,2024-02-11,2024-08-12,0,0.21,6.8,0,177.0,0.5267857142857143,336,58.0,0.1726190476190476,2514.803089673403,7.484533004980366,126,1866.64,51.0,648.1630896734031,0.0,1.0,0.0,0.0,1.0,0.29,1.5,7.19,1.0
C100008,Company_8,France,Europe,1,Unknown,201-1000,60522.71,Growth,Enterprise,SelfServe,2023-01-28,,1,0.14,5.5,0,1342.0,3.994047619047619,336,499.0,1.4851190476190477,8975.591060611017,26.713068632770884,718,4827.6,624.0,4147.991060611018,0.0,0.0,1.0,0.0,1.0,-0.06,6.18,19.12,1.0
C100009,Company_9,Netherlands,Europe,1,Wholesale,10-Jan,1239.73,Starter,SMB_Inside,Inbound,2023-11-14,,1,0.15,6.7,0,303.0,0.9017857142857144,336,105.0,0.3125,4170.162677284804,12.411198444300013,166,2277.89,137.0,1892.272677284804,2.0,0.0,1.0,0.0,3.0,0.4000000000000001,2.603333333333333,7.586666666666666,3.0
C100010,Company_10,US,North America,0,Ecommerce,10-Jan,1073.77,Starter,SMB_Inside,Inbound,2023-04-11,2023-07-11,0,0.09,5.9,1,0.0,0.0,366,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C100011,Company_11,France,Europe,1,Unknown,Nov-50,8621.98,Growth,SMB_Inside,Partner,2024-02-05,2025-02-05,0,0.22,6.7,0,1219.0,3.6279761904761902,336,442.0,1.3154761904761905,8069.739639332816,24.017082259919096,591,3974.01,628.0,4095.729639332817,0.0,0.0,0.0,1.0,1.0,-0.12,7.18,13.61,1.0
