customer_id,date,logins,feature_events,session_minutes
C100000,2024-01-01,5,0,32.23
C100000,2024-01-02,1,1,18.08
C100000,2024-01-03,3,1,9.1
C100000,2024-01-04,3,1,37.6
C100000,2024-01-05,5,2,25.2
C100000,2024-01-06,3,1,37.58
C100000,2024-01-07,2,1,21.67
C100000,2024-01-08,8,2,14.32
C100000,2024-01-09,1,0,16.19
C100000,2024-01-10,3,2,25.69
C100000,2024-01-11,3,0,34.66
C100000,2024-01-12,3,0,37.1
C100000,2024-01-13,3,1,39.44
C100000,2024-01-14,5,2,22.81
C100000,2024-01-15,4,0,30.7
C100000,2024-01-16,4,2,27.61
C100000,2024-01-17,1,0,14.01
C100000,2024-01-18,7,1,39.27
C100000,2024-01-19,4,1,18.68
C100000,2024-01-20,3,1,26.63
C100000,2024-01-21,6,1,30.82
C100000,2024-01-22,2,2,16.54
C100000,2024-01-23,2,2,26.14
C100000,2024-01-24,6,1,20.8
C100000,2024-01-25,3,1,17.59
C100000,2024-01-26,5,1,30.55
C100000,2024-01-27,4,2,40.91
C100000,2024-01-28,3,1,50.31
C100000,2024-01-29,7,1,31.81
C100000,2024-01-30,0,0,16.78
C100000,2024-01-31,1,0,24.93
C100000,2024-02-01,4,2,33.79
C100000,2024-02-02,5,1,37.03
C100000,2024-02-03,5,2,28.08
C100000,2024-02-04,1,0,9.01
C100000,2024-02-05,7,3,35.92
C100000,2024-02-06,6,2,32.86
C100000,2024-02-07,8,3,34.49
C100000,2024-02-08,7,3,29.68
C100000,2024-02-09,3,0,25.72
C100000,2024-02-10,4,1,24.16
C100000,2024-02-11,2,1,21.73
C100000,2024-02-12,6,1,34.04
C100000,2024-02-13,2,0,26.93
C100000,2024-02-14,7,2,24.15
C100000,2024-02-15,1,0,0.0
C100000,2024-02-16,1,1,8.1
C100000,2024-02-17,3,1,44.98
C100000,2024-02-18,3,1,30.47
C100000,2024-02-19,3,1,48.78
C100000,2024-02-20,1,1,0.0
C100000,2024-02-21,7,1,40.24
C100000,2024-02-22,1,0,6.11
C100000,2024-02-23,2,1,21.66
C100000,2024-02-24,3,2,36.5
C100000,2024-02-25,5,1,35.04
C100000,2024-02-26,7,4,40.44
C100000,2024-02-27,3,2,30.17
C100000,2024-02-28,4,2,15.66
C100000,2024-02-29,5,2,26.43
C100000,2024-03-01,2,2,13.4
C100000,2024-03-02,3,0,27.43
C100000,2024-03-03,4,0,39.23
C100000,2024-03-04,5,2,26.18
